artist,artist_id
The Everly Brothers,1
Lale Anderson,2
Paul Anka,3
The Olympics,4
Chubby Checker,5
Nat Kendrick And The Swans,6
Webb Pierce,7
Ramrods,8
Skeeter Davis,9
Steve Lawrence,10
Tab Hunter,11
The Drifters,12
Chuck Jackson,13
Gino & Gina,14
Bill Doggett,15
Ferrante & Teicher,16
Tommy Edwards,17
Elvis Presley,18
Paul Evans and the Curls,19
Brian Hyland,20
Mantovani & His Orchestra,21
Lawrence Welk And His Orchestra,22
Henry Mancini And His Orchestra,23
Dorsey Burnette,24
Pat Boone,25
Lloyd Price and His Orchestra,26
Marv Johnson,27
The Crests,28
The Big Sound Of Don Ralke,29
Johnny Mathis,30
Jimmy Witter,31
The Limeliters,32
Ike & Tina Turner,33
The Chordettes,34
Scott Garrett,35
Dale Hawkins,36
Gene McDaniels,37
Jimmy Clanton,38
The Jarmels,39
Jack Scott,40
Dion & The Belmonts,41
Clyde McPhatter,42
Frankie Avalon,43
Little Anthony And The Imperials,44
Dinah Washington & Brook Benton,45
Andy Stewart,46
Denny Reed,47
Anita Bryant,48
The Heartbeats,49
Kathy Young,50
Jerry Wallace,51
The Kingston Trio,52
Fabian,53
Bing Crosby,54
Cannonball Adderley Orchestra,55
The Miracles,56
Fats Domino,57
Frankie Ford,58
Johnny Cash,59
Hollywood Argyles,60
Chuck Berry,61
Faron Young,62
The Coasters,63
Peggy Lee,64
David Seville And The Chipmunks,65
Sammy Turner,66
Jim Reeves,67
Debbie Reynolds,68
Linda Laurie,69
Connie Francis,70
Ronnie Savoy,71
Jimmy Darren,72
Johnny Ferguson,73
Jorgen Ingmann & His Guitar,74
Teresa Brewer,75
June Valli,76
Jaye P. Morgan,77
Jimmie Rodgers,78
Bobby Darin,79
Adam Wade,80
Johnny Nash,81
Kokomo,82
Dee Clark,83
The Echoes,84
Little Richard,85
Buzz Clifford,86
Jan & Dean,87
Mickey & Sylvia,88
Dorothy Collins,89
The Rondels,90
Marty Wilde,91
Graduates,92
Marty Robbins,93
Jan And Kjeld,94
The Temptations,95
The Regents,96
The Mormon Tabernacle Choir,97
Fred Darian,98
The Kirby Stone Four,99
Paris Sisters,100
Roger Smith,101
Johnny And The Hurricanes,102
Sir Chauncey and his exciting strings,103
Duane Eddy And The Rebels,104
The Playmates,105
Louis Prima And Keely Smith,106
Royal Teens,107
Billy & Lillie,108
The Starlets,109
Bobby Freeman,110
Jerry Fuller,111
Johnny Burnette,112
Big Bopper,113
Jimmy Reed,114
The Redjacks,115
Jill Corey,116
The Four Preps,117
Claude King,118
Danny Valentino,119
Nicola Paone,120
Tony Orlando,121
Don Gibson,122
The Browns Featuring Jim Edward Brown,123
Billy Vaughn And His Orchestra,124
The Marcels,125
Tommy Sands And The Raiders,126
Bill Black's Combo,127
The Statues,128
Mitch Miller and his Orchestra and Chorus,129
Neil Scott,130
Al Caiola And His Orchestra,131
Billy Grammer,132
Preston Epps,133
Chet Atkins,134
Boyd Bennett,135
B. Bumble & The Stingers,136
Stan Robinson,137
Poni-Tails,138
Bobby Helms,139
The String-A-Longs,140
Jerry Lee Lewis And His Pumping Piano,141
Jivin' Gene And The Jokers,142
Sarah Vaughan,143
The Piltdown Men,144
Paul Peek,145
The Fireballs,146
Cyclones,147
The Applejacks,148
Clarence Henry,149
Freddy Cannon,150
Jimmy Bowen,151
Mary Wells,152
Conway Twitty,153
Eddie Cochran,154
Neil Sedaka,155
Joe Jones,156
Etta Jones,157
Roy Orbison,158
Mitchell Torok,159
The Johnny Otis Show,160
Boots Brown And His Blockbusters,161
Sam Cooke,162
The Dubs,163
The Champs,164
The Sevilles,165
Ernie Fields & Orch.,166
Bobby Rydell,167
Charlie Mccoy,168
Skip And Flip,169
Jerry Murad's Harmonicats,170
Addrisi Brothers,171
Ronnie Love And His Orchestra,172
Eddy Arnold,173
