entry_id,rank_nr,track_id,update_id
10,10,353,hot100_19580101
11,11,398,hot100_19580101
12,12,668,hot100_19580101
14,14,603,hot100_19580101
15,15,377,hot100_19580101
17,17,333,hot100_19580101
21,21,433,hot100_19580101
22,22,33,hot100_19580101
26,26,178,hot100_19580101
29,29,332,hot100_19580101
31,31,213,hot100_19580101
32,32,158,hot100_19580101
41,41,324,hot100_19580101
44,44,650,hot100_19580101
45,45,683,hot100_19580101
46,46,15,hot100_19580101
47,47,567,hot100_19580101
49,49,69,hot100_19580101
51,50,122,hot100_19580101
52,52,324,hot100_19580101
53,53,235,hot100_19580101
58,58,367,hot100_19580101
61,61,643,hot100_19580101
62,62,376,hot100_19580101
64,63,477,hot100_19580101
66,66,272,hot100_19580101
67,67,150,hot100_19580101
70,70,291,hot100_19580101
71,71,422,hot100_19580101
73,73,471,hot100_19580101
77,77,445,hot100_19580101
78,78,140,hot100_19580101
80,80,660,hot100_19580101
81,81,129,hot100_19580101
85,85,422,hot100_19580101
87,87,649,hot100_19580101
88,88,678,hot100_19580101
89,89,159,hot100_19580101
92,92,155,hot100_19580101
93,93,97,hot100_19580101
97,97,503,hot100_19580101
100,100,664,hot100_19580101
110,10,353,hot100_19580108
111,11,398,hot100_19580108
112,12,668,hot100_19580108
114,14,603,hot100_19580108
115,15,377,hot100_19580108
117,17,333,hot100_19580108
121,21,433,hot100_19580108
122,22,33,hot100_19580108
126,26,178,hot100_19580108
129,29,332,hot100_19580108
131,31,213,hot100_19580108
132,32,158,hot100_19580108
141,41,324,hot100_19580108
144,44,650,hot100_19580108
145,45,683,hot100_19580108
146,46,15,hot100_19580108
147,47,567,hot100_19580108
149,49,69,hot100_19580108
151,50,122,hot100_19580108
152,52,324,hot100_19580108
153,53,235,hot100_19580108
158,58,367,hot100_19580108
161,61,643,hot100_19580108
162,62,376,hot100_19580108
164,63,477,hot100_19580108
166,66,272,hot100_19580108
167,67,150,hot100_19580108
170,70,291,hot100_19580108
171,71,422,hot100_19580108
173,73,471,hot100_19580108
177,77,445,hot100_19580108
178,78,140,hot100_19580108
180,80,660,hot100_19580108
181,81,129,hot100_19580108
185,85,422,hot100_19580108
187,87,649,hot100_19580108
188,88,678,hot100_19580108
189,89,159,hot100_19580108
192,92,155,hot100_19580108
193,93,97,hot100_19580108
197,97,503,hot100_19580108
200,100,664,hot100_19580108
210,10,353,hot100_19580115
211,11,398,hot100_19580115
212,12,668,hot100_19580115
214,14,603,hot100_19580115
215,15,377,hot100_19580115
217,17,333,hot100_19580115
221,21,433,hot100_19580115
222,22,33,hot100_19580115
226,26,178,hot100_19580115
229,29,332,hot100_19580115
231,31,213,hot100_19580115
232,32,158,hot100_19580115
241,41,324,hot100_19580115
244,44,650,hot100_19580115
245,45,683,hot100_19580115
246,46,15,hot100_19580115
247,47,567,hot100_19580115
249,49,69,hot100_19580115
251,50,122,hot100_19580115
252,52,324,hot100_19580115
253,53,235,hot100_19580115
258,58,367,hot100_19580115
261,61,643,hot100_19580115
262,62,376,hot100_19580115
264,63,477,hot100_19580115
266,66,272,hot100_19580115
267,67,150,hot100_19580115
270,70,291,hot100_19580115
271,71,422,hot100_19580115
273,73,471,hot100_19580115
277,77,445,hot100_19580115
278,78,140,hot100_19580115
280,80,660,hot100_19580115
281,81,129,hot100_19580115
285,85,422,hot100_19580115
287,87,649,hot100_19580115
288,88,678,hot100_19580115
289,89,159,hot100_19580115
292,92,155,hot100_19580115
293,93,97,hot100_19580115
297,97,503,hot100_19580115
300,100,664,hot100_19580115
310,10,353,hot100_19580122
311,11,398,hot100_19580122
312,12,668,hot100_19580122
314,14,603,hot100_19580122
315,15,377,hot100_19580122
317,17,333,hot100_19580122
321,21,433,hot100_19580122
322,22,33,hot100_19580122
326,26,178,hot100_19580122
329,29,332,hot100_19580122
331,31,213,hot100_19580122
332,32,158,hot100_19580122
341,41,324,hot100_19580122
344,44,650,hot100_19580122
345,45,683,hot100_19580122
346,46,15,hot100_19580122
347,47,567,hot100_19580122
349,49,69,hot100_19580122
351,50,122,hot100_19580122
352,52,324,hot100_19580122
353,53,235,hot100_19580122
358,58,367,hot100_19580122
361,61,643,hot100_19580122
362,62,376,hot100_19580122
364,63,477,hot100_19580122
366,66,272,hot100_19580122
367,67,150,hot100_19580122
370,70,291,hot100_19580122
371,71,422,hot100_19580122
373,73,471,hot100_19580122
377,77,445,hot100_19580122
378,78,140,hot100_19580122
380,80,660,hot100_19580122
381,81,129,hot100_19580122
385,85,422,hot100_19580122
387,87,649,hot100_19580122
388,88,678,hot100_19580122
389,89,159,hot100_19580122
392,92,155,hot100_19580122
393,93,97,hot100_19580122
397,97,503,hot100_19580122
400,100,664,hot100_19580122
410,10,353,hot100_19580129
411,11,398,hot100_19580129
412,12,668,hot100_19580129
414,14,603,hot100_19580129
415,15,377,hot100_19580129
417,17,333,hot100_19580129
421,21,433,hot100_19580129
422,22,33,hot100_19580129
426,26,178,hot100_19580129
429,29,332,hot100_19580129
431,31,213,hot100_19580129
432,32,158,hot100_19580129
441,41,324,hot100_19580129
444,44,650,hot100_19580129
445,45,683,hot100_19580129
446,46,15,hot100_19580129
447,47,567,hot100_19580129
449,49,69,hot100_19580129
451,50,122,hot100_19580129
452,52,324,hot100_19580129
453,53,235,hot100_19580129
458,58,367,hot100_19580129
461,61,643,hot100_19580129
462,62,376,hot100_19580129
464,63,477,hot100_19580129
466,66,272,hot100_19580129
467,67,150,hot100_19580129
470,70,291,hot100_19580129
471,71,422,hot100_19580129
473,73,471,hot100_19580129
477,77,445,hot100_19580129
478,78,140,hot100_19580129
480,80,660,hot100_19580129
481,81,129,hot100_19580129
485,85,422,hot100_19580129
487,87,649,hot100_19580129
488,88,678,hot100_19580129
489,89,159,hot100_19580129
492,92,155,hot100_19580129
493,93,97,hot100_19580129
497,97,503,hot100_19580129
500,100,664,hot100_19580129
510,10,353,hot100_19580205
511,11,398,hot100_19580205
512,12,668,hot100_19580205
514,14,603,hot100_19580205
515,15,377,hot100_19580205
517,17,333,hot100_19580205
521,21,433,hot100_19580205
522,22,33,hot100_19580205
526,26,178,hot100_19580205
529,29,332,hot100_19580205
531,31,213,hot100_19580205
532,32,158,hot100_19580205
541,41,324,hot100_19580205
544,44,650,hot100_19580205
545,45,683,hot100_19580205
546,46,15,hot100_19580205
547,47,567,hot100_19580205
549,49,69,hot100_19580205
551,50,122,hot100_19580205
552,52,324,hot100_19580205
553,53,235,hot100_19580205
558,58,367,hot100_19580205
561,61,643,hot100_19580205
562,62,376,hot100_19580205
564,63,477,hot100_19580205
566,66,272,hot100_19580205
567,67,150,hot100_19580205
570,70,291,hot100_19580205
571,71,422,hot100_19580205
573,73,471,hot100_19580205
577,77,445,hot100_19580205
578,78,140,hot100_19580205
580,80,660,hot100_19580205
581,81,129,hot100_19580205
585,85,422,hot100_19580205
587,87,649,hot100_19580205
588,88,678,hot100_19580205
589,89,159,hot100_19580205
592,92,155,hot100_19580205
593,93,97,hot100_19580205
597,97,503,hot100_19580205
600,100,664,hot100_19580205
610,10,353,hot100_19580212
611,11,398,hot100_19580212
612,12,668,hot100_19580212
614,14,603,hot100_19580212
615,15,377,hot100_19580212
617,17,333,hot100_19580212
621,21,433,hot100_19580212
622,22,33,hot100_19580212
626,26,178,hot100_19580212
629,29,332,hot100_19580212
631,31,213,hot100_19580212
632,32,158,hot100_19580212
641,41,324,hot100_19580212
644,44,650,hot100_19580212
645,45,683,hot100_19580212
646,46,15,hot100_19580212
647,47,567,hot100_19580212
649,49,69,hot100_19580212
651,50,122,hot100_19580212
652,52,324,hot100_19580212
653,53,235,hot100_19580212
658,58,367,hot100_19580212
661,61,643,hot100_19580212
662,62,376,hot100_19580212
664,63,477,hot100_19580212
666,66,272,hot100_19580212
667,67,150,hot100_19580212
670,70,291,hot100_19580212
671,71,422,hot100_19580212
673,73,471,hot100_19580212
677,77,445,hot100_19580212
678,78,140,hot100_19580212
680,80,660,hot100_19580212
681,81,129,hot100_19580212
685,85,422,hot100_19580212
687,87,649,hot100_19580212
688,88,678,hot100_19580212
689,89,159,hot100_19580212
692,92,155,hot100_19580212
693,93,97,hot100_19580212
697,97,503,hot100_19580212
700,100,664,hot100_19580212
710,10,353,hot100_19580219
711,11,398,hot100_19580219
712,12,668,hot100_19580219
714,14,603,hot100_19580219
715,15,377,hot100_19580219
717,17,333,hot100_19580219
721,21,433,hot100_19580219
722,22,33,hot100_19580219
726,26,178,hot100_19580219
729,29,332,hot100_19580219
731,31,213,hot100_19580219
732,32,158,hot100_19580219
741,41,324,hot100_19580219
744,44,650,hot100_19580219
745,45,683,hot100_19580219
746,46,15,hot100_19580219
747,47,567,hot100_19580219
749,49,69,hot100_19580219
751,50,122,hot100_19580219
752,52,324,hot100_19580219
753,53,235,hot100_19580219
758,58,367,hot100_19580219
761,61,643,hot100_19580219
762,62,376,hot100_19580219
764,63,477,hot100_19580219
766,66,272,hot100_19580219
767,67,150,hot100_19580219
770,70,291,hot100_19580219
771,71,422,hot100_19580219
773,73,471,hot100_19580219
777,77,445,hot100_19580219
778,78,140,hot100_19580219
780,80,660,hot100_19580219
781,81,129,hot100_19580219
785,85,422,hot100_19580219
787,87,649,hot100_19580219
788,88,678,hot100_19580219
789,89,159,hot100_19580219
792,92,155,hot100_19580219
793,93,97,hot100_19580219
797,97,503,hot100_19580219
800,100,664,hot100_19580219
810,10,353,hot100_19580226
811,11,398,hot100_19580226
812,12,668,hot100_19580226
814,14,603,hot100_19580226
815,15,377,hot100_19580226
817,17,333,hot100_19580226
821,21,433,hot100_19580226
822,22,33,hot100_19580226
826,26,178,hot100_19580226
829,29,332,hot100_19580226
831,31,213,hot100_19580226
832,32,158,hot100_19580226
841,41,324,hot100_19580226
844,44,650,hot100_19580226
845,45,683,hot100_19580226
846,46,15,hot100_19580226
847,47,567,hot100_19580226
849,49,69,hot100_19580226
851,50,122,hot100_19580226
852,52,324,hot100_19580226
853,53,235,hot100_19580226
858,58,367,hot100_19580226
861,61,643,hot100_19580226
862,62,376,hot100_19580226
864,63,477,hot100_19580226
866,66,272,hot100_19580226
867,67,150,hot100_19580226
870,70,291,hot100_19580226
871,71,422,hot100_19580226
873,73,471,hot100_19580226
877,77,445,hot100_19580226
878,78,140,hot100_19580226
880,80,660,hot100_19580226
881,81,129,hot100_19580226
885,85,422,hot100_19580226
887,87,649,hot100_19580226
888,88,678,hot100_19580226
889,89,159,hot100_19580226
892,92,155,hot100_19580226
893,93,97,hot100_19580226
897,97,503,hot100_19580226
900,100,664,hot100_19580226
910,10,353,hot100_19580305
911,11,398,hot100_19580305
912,12,668,hot100_19580305
914,14,603,hot100_19580305
915,15,377,hot100_19580305
917,17,333,hot100_19580305
921,21,433,hot100_19580305
922,22,33,hot100_19580305
926,26,178,hot100_19580305
929,29,332,hot100_19580305
931,31,213,hot100_19580305
932,32,158,hot100_19580305
941,41,324,hot100_19580305
944,44,650,hot100_19580305
945,45,683,hot100_19580305
946,46,15,hot100_19580305
947,47,567,hot100_19580305
949,49,69,hot100_19580305
951,50,122,hot100_19580305
952,52,324,hot100_19580305
953,53,235,hot100_19580305
958,58,367,hot100_19580305
961,61,643,hot100_19580305
962,62,376,hot100_19580305
964,63,477,hot100_19580305
966,66,272,hot100_19580305
967,67,150,hot100_19580305
970,70,291,hot100_19580305
971,71,422,hot100_19580305
973,73,471,hot100_19580305
977,77,445,hot100_19580305
978,78,140,hot100_19580305
980,80,660,hot100_19580305
981,81,129,hot100_19580305
985,85,422,hot100_19580305
987,87,649,hot100_19580305
988,88,678,hot100_19580305
989,89,159,hot100_19580305
992,92,155,hot100_19580305
993,93,97,hot100_19580305
997,97,503,hot100_19580305
1000,100,664,hot100_19580305
1010,10,353,hot100_19580312
1011,11,398,hot100_19580312
1012,12,668,hot100_19580312
1014,14,603,hot100_19580312
1015,15,377,hot100_19580312
1017,17,333,hot100_19580312
1021,21,433,hot100_19580312
1022,22,33,hot100_19580312
1026,26,178,hot100_19580312
1029,29,332,hot100_19580312
1031,31,213,hot100_19580312
1032,32,158,hot100_19580312
1041,41,324,hot100_19580312
1044,44,650,hot100_19580312
1045,45,683,hot100_19580312
1046,46,15,hot100_19580312
1047,47,567,hot100_19580312
1049,49,69,hot100_19580312
1051,50,122,hot100_19580312
1052,52,324,hot100_19580312
1053,53,235,hot100_19580312
1058,58,367,hot100_19580312
1061,61,643,hot100_19580312
1062,62,376,hot100_19580312
1064,63,477,hot100_19580312
1066,66,272,hot100_19580312
1067,67,150,hot100_19580312
1070,70,291,hot100_19580312
1071,71,422,hot100_19580312
1073,73,471,hot100_19580312
1077,77,445,hot100_19580312
1078,78,140,hot100_19580312
1080,80,660,hot100_19580312
1081,81,129,hot100_19580312
1085,85,422,hot100_19580312
1087,87,649,hot100_19580312
1088,88,678,hot100_19580312
1089,89,159,hot100_19580312
1092,92,155,hot100_19580312
1093,93,97,hot100_19580312
1097,97,503,hot100_19580312
1100,100,664,hot100_19580312
1110,10,353,hot100_19580319
1111,11,398,hot100_19580319
1112,12,668,hot100_19580319
1114,14,603,hot100_19580319
1115,15,377,hot100_19580319
1117,17,333,hot100_19580319
1121,21,433,hot100_19580319
1122,22,33,hot100_19580319
1126,26,178,hot100_19580319
1129,29,332,hot100_19580319
1131,31,213,hot100_19580319
1132,32,158,hot100_19580319
1141,41,324,hot100_19580319
1144,44,650,hot100_19580319
1145,45,683,hot100_19580319
1146,46,15,hot100_19580319
1147,47,567,hot100_19580319
1149,49,69,hot100_19580319
1151,50,122,hot100_19580319
1152,52,324,hot100_19580319
1153,53,235,hot100_19580319
1158,58,367,hot100_19580319
1161,61,643,hot100_19580319
1162,62,376,hot100_19580319
1164,63,477,hot100_19580319
1166,66,272,hot100_19580319
1167,67,150,hot100_19580319
1170,70,291,hot100_19580319
1171,71,422,hot100_19580319
1173,73,471,hot100_19580319
1177,77,445,hot100_19580319
1178,78,140,hot100_19580319
1180,80,660,hot100_19580319
1181,81,129,hot100_19580319
1185,85,422,hot100_19580319
1187,87,649,hot100_19580319
1188,88,678,hot100_19580319
1189,89,159,hot100_19580319
1192,92,155,hot100_19580319
1193,93,97,hot100_19580319
1197,97,503,hot100_19580319
1200,100,664,hot100_19580319
1210,10,353,hot100_19580326
1211,11,398,hot100_19580326
1212,12,668,hot100_19580326
1214,14,603,hot100_19580326
1215,15,377,hot100_19580326
1217,17,333,hot100_19580326
1221,21,433,hot100_19580326
1222,22,33,hot100_19580326
1226,26,178,hot100_19580326
1229,29,332,hot100_19580326
1231,31,213,hot100_19580326
1232,32,158,hot100_19580326
1241,41,324,hot100_19580326
1244,44,650,hot100_19580326
1245,45,683,hot100_19580326
1246,46,15,hot100_19580326
1247,47,567,hot100_19580326
1249,49,69,hot100_19580326
1251,50,122,hot100_19580326
1252,52,324,hot100_19580326
1253,53,235,hot100_19580326
1258,58,367,hot100_19580326
1261,61,643,hot100_19580326
1262,62,376,hot100_19580326
1264,63,477,hot100_19580326
1266,66,272,hot100_19580326
1267,67,150,hot100_19580326
1270,70,291,hot100_19580326
1271,71,422,hot100_19580326
1273,73,471,hot100_19580326
1277,77,445,hot100_19580326
1278,78,140,hot100_19580326
1280,80,660,hot100_19580326
1281,81,129,hot100_19580326
1285,85,422,hot100_19580326
1287,87,649,hot100_19580326
1288,88,678,hot100_19580326
1289,89,159,hot100_19580326
1292,92,155,hot100_19580326
1293,93,97,hot100_19580326
