update_id,chart_id,update_date
hot100_19580101,1,1958-01-01
hot100_19580108,1,1958-01-08
hot100_19580115,1,1958-01-15
hot100_19580122,1,1958-01-22
hot100_19580129,1,1958-01-29
hot100_19580205,1,1958-02-05
hot100_19580212,1,1958-02-12
hot100_19580219,1,1958-02-19
hot100_19580226,1,1958-02-26
hot100_19580305,1,1958-03-05
hot100_19580312,1,1958-03-12
hot100_19580319,1,1958-03-19
hot100_19580326,1,1958-03-26
hot100_19580402,1,1958-04-02
hot100_19580409,1,1958-04-09
hot100_19580416,1,1958-04-16
hot100_19580423,1,1958-04-23
hot100_19580430,1,1958-04-30
hot100_19580507,1,1958-05-07
hot100_19580514,1,1958-05-14
hot100_19580521,1,1958-05-21
hot100_19580528,1,1958-05-28
hot100_19580604,1,1958-06-04
hot100_19580611,1,1958-06-11
hot100_19580618,1,1958-06-18
hot100_19580625,1,1958-06-25
hot100_19580702,1,1958-07-02
hot100_19580709,1,1958-07-09
hot100_19580716,1,1958-07-16
hot100_19580723,1,1958-07-23
hot100_19580730,1,1958-07-30
hot100_19580806,1,1958-08-06
hot100_19580813,1,1958-08-13
hot100_19580820,1,1958-08-20
hot100_19580827,1,1958-08-27
hot100_19580903,1,1958-09-03
hot100_19580910,1,1958-09-10
hot100_19580917,1,1958-09-17
hot100_19580924,1,1958-09-24
hot100_19581001,1,1958-10-01
hot100_19581008,1,1958-10-08
hot100_19581015,1,1958-10-15
hot100_19581022,1,1958-10-22
hot100_19581029,1,1958-10-29
hot100_19581105,1,1958-11-05
hot100_19581112,1,1958-11-12
hot100_19581119,1,1958-11-19
hot100_19581126,1,1958-11-26
hot100_19581203,1,1958-12-03
hot100_19581210,1,1958-12-10
hot100_19581217,1,1958-12-17
hot100_19581224,1,1958-12-24
hot100_19581231,1,1958-12-31
hot100_19590107,1,1959-01-07
hot100_19590114,1,1959-01-14
hot100_19590121,1,1959-01-21
hot100_19590128,1,1959-01-28
hot100_19590204,1,1959-02-04
hot100_19590211,1,1959-02-11
hot100_19590218,1,1959-02-18
hot100_19590225,1,1959-02-25
hot100_19590304,1,1959-03-04
hot100_19590311,1,1959-03-11
hot100_19590318,1,1959-03-18
hot100_19590325,1,1959-03-25
hot100_19590401,1,1959-04-01
hot100_19590408,1,1959-04-08
hot100_19590415,1,1959-04-15
hot100_19590422,1,1959-04-22
hot100_19590429,1,1959-04-29
hot100_19590506,1,1959-05-06
hot100_19590513,1,1959-05-13
hot100_19590520,1,1959-05-20
hot100_19590527,1,1959-05-27
hot100_19590603,1,1959-06-03
hot100_19590610,1,1959-06-10
hot100_19590617,1,1959-06-17
hot100_19590624,1,1959-06-24
hot100_19590701,1,1959-07-01
hot100_19590708,1,1959-07-08
hot100_19590715,1,1959-07-15
hot100_19590722,1,1959-07-22
hot100_19590729,1,1959-07-29
hot100_19590805,1,1959-08-05
hot100_19590812,1,1959-08-12
hot100_19590819,1,1959-08-19
hot100_19590826,1,1959-08-26
hot100_19590902,1,1959-09-02
hot100_19590909,1,1959-09-09
hot100_19590916,1,1959-09-16
hot100_19590923,1,1959-09-23
hot100_19590930,1,1959-09-30
hot100_19591007,1,1959-10-07
hot100_19591014,1,1959-10-14
hot100_19591021,1,1959-10-21
hot100_19591028,1,1959-10-28
hot100_19591104,1,1959-11-04
hot100_19591111,1,1959-11-11
hot100_19591118,1,1959-11-18
hot100_19591125,1,1959-11-25
hot100_19591202,1,1959-12-02
hot100_19591209,1,1959-12-09
hot100_19591216,1,1959-12-16
hot100_19591223,1,1959-12-23
hot100_19591230,1,1959-12-30
hot100_19600106,1,1960-01-06
hot100_19600113,1,1960-01-13
hot100_19600120,1,1960-01-20
hot100_19600127,1,1960-01-27
hot100_19600203,1,1960-02-03
hot100_19600210,1,1960-02-10
hot100_19600217,1,1960-02-17
hot100_19600224,1,1960-02-24
hot100_19600302,1,1960-03-02
hot100_19600309,1,1960-03-09
hot100_19600316,1,1960-03-16
