title,title_spotify,album,colab,sp_id,release_date,peak_rank,peak_date,peak_year,lustrum,weeks,sp_popularity,tempo,duration,track_key,track_mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,release_year,artist_id,track_id
('til) I Kissed You,('Til) I Kissed You,The Fabulous Style Of The Everly Brothers,False,2ltpYs0O8uNesHFgGHg0bt,1960-01-01,4.0,1959-08-12,1959,1955-1959,16.0,47.0,141.087,145.96,1.0,1.0,0.569,0.465,-10.431,0.0438,0.614,0.0,0.342,0.664,1960,1.0,1
(A Ship Will Come) Ein Schiff Wird Kommen,The Waltzing Cat,The Waltzing Cat,True,0rI1QQ8kMc7MH7LgnOPteX,2004-02-14,88.0,1961-04-19,1961,1960-1964,4.0,37.0,133.759,166.547,7.0,1.0,0.357,0.0663,-21.7,0.0415,0.983,0.68,0.0553,0.246,2004,2.0,2
(All of a Sudden) My Heart Sings,(All Of A Sudden) My Heart Sings - Remastered,My Heart Sings (Remastered),False,0zKZqHPNUKjjhsUJHT06RZ,1959-01-01,15.0,1958-12-17,1958,1955-1959,17.0,33.0,111.446,182.56,4.0,1.0,0.435,0.36,-10.179,0.0298,0.78,0.0,0.513,0.342,1959,3.0,3
(Baby) Hully Gully,Baby Hully Gully,Doin' the Hully Gully,False,2CkbNJooPxUsHG4gFXKhxa,1960-07-06,72.0,1960-01-27,1960,1960-1964,7.0,3.0,115.772,218.642,2.0,1.0,0.699,0.661,-6.09,0.0382,0.516,0.0,0.198,0.869,1960,4.0,4
(Dance The) Mess Around,Dance The Mess Around,Dancin' Party: The Chubby Checker Collection (1960-1966),False,58EirkLFB6O6wwRN9JowHB,2020-06-19,24.0,1961-04-19,1961,1960-1964,7.0,18.0,146.559,132.933,10.0,1.0,0.511,0.694,-5.509,0.0479,0.381,0.0,0.195,0.826,2020,5.0,5
(Do The) Mashed Potatoes (Part 1),(Do The) Mashed Potatoes Part 1,Star Time,False,4W7ps5zORgRWe691hlxXzC,1991-01-01,84.0,1960-02-10,1960,1960-1964,2.0,12.0,134.471,112.4,7.0,1.0,0.745,0.837,-9.169,0.0467,0.511,0.339,0.191,0.932,1991,6.0,6
(Doin' The) Lovers Leap,(Doin' The) Lovers Leap,"Hundred Year Webb, Vol. 2",False,2jX30KTWE5wQS7RdqvJO1X,2021-07-23,93.0,1960-04-20,1960,1960-1964,2.0,3.0,132.654,131.667,10.0,1.0,0.788,0.356,-10.682,0.0357,0.516,3.98e-05,0.0655,0.925,2021,7.0,7
(Ghost) Riders In The Sky,Ghost Riders in the Sky,Loco Drive - In,False,7JqK0JRlIunCuy0uxY3Zsw,2015-01-12,30.0,1961-01-04,1961,1960-1964,9.0,25.0,120.956,154.827,5.0,1.0,0.445,0.835,-7.598,0.0455,0.745,0.601,0.613,0.351,2015,8.0,8
(I Can't Help You) I'm Falling Too,(I Can't Help You) I'm Falling Too,The Essential Skeeter Davis,False,5MXe6dKcR6iO33GWzVW8cr,1994-05-23,39.0,1960-08-17,1960,1960-1964,7.0,23.0,91.209,165.267,9.0,1.0,0.617,0.197,-12.145,0.0267,0.777,0.0,0.133,0.384,1994,9.0,9
(I Don't Care) Only Love Me,(I Don't Care) Only Love Me,The Best Of,False,2tve82MQkxXX1WsdxpI4sk,1961-01-01,62.0,1959-05-13,1959,1955-1959,4.0,10.0,141.812,153.6,5.0,0.0,0.56,0.516,-12.275,0.183,0.468,0.000107,0.173,0.825,1961,10.0,10
(I Wanna) Dance With The Teacher,I Wanna Dance with the Teacher,The Very Best of the Olympics,False,3rHQ8LI3Rrw2hy7H4FtbFw,1960-05-17,71.0,1958-12-03,1958,1955-1959,5.0,0.0,85.189,107.317,4.0,1.0,0.567,0.458,-15.353,0.0623,0.428,0.0412,0.356,0.829,1960,4.0,11
(I'll Be With You In) Apple Blossom Time,I'll Be With You In Apple Blossom Time,Funny Candy Love,False,1qvPUtxpSd8xUwmkoGWs7V,2024-08-02,31.0,1959-01-28,1959,1955-1959,11.0,1.0,130.33,131.579,8.0,1.0,0.576,0.375,-12.51,0.0367,0.863,5.66e-06,0.0593,0.635,2024,11.0,12
"(If You Cry) True Love, True Love","(If You Cry) True Love, True Love - Single Version",The Drifters: Essentials,False,6mZrW1JtojCUbpEJqvjEXE,2002-07-01,33.0,1959-10-28,1959,1955-1959,11.0,21.0,140.042,138.24,0.0,1.0,0.48,0.538,-5.368,0.0315,0.533,0.0,0.0945,0.523,2002,12.0,13
(It Never Happens) In Real Life,(It Never Happens) In Real Life,Super Hits,False,0a5tdX3qPVFQ76x4HkVZEy,2019-08-14,46.0,1961-04-05,1961,1960-1964,7.0,3.0,119.059,165.44,3.0,1.0,0.696,0.46,-8.451,0.0304,0.692,0.0325,0.138,0.829,2019,13.0,14
(It's Been A Long Time) Pretty Baby,sobeautiful,onmyradio,False,2PN3gbuBn5WBEwrEJH3xiu,2008-11-24,46.0,1958-01-01,1958,1955-1959,1.0,56.0,133.987,291.133,7.0,0.0,0.689,0.562,-7.048,0.0637,0.0656,0.0,0.0885,0.21,2008,14.0,15
(Let's Do) The Hully Gully Twist,Holly Holy,All-Time Greatest Hits,False,3l1YVg3uZMYbi5mROMRWRY,2014-07-08,66.0,1960-12-21,1960,1960-1964,3.0,45.0,102.963,280.467,9.0,1.0,0.301,0.479,-8.099,0.0265,0.552,2.64e-05,0.634,0.403,2014,15.0,16
(Love Theme From) One Eyed Jacks,"One-Eyed Jacks (Theme From The Motion Picture ""One Eyed Jacks"")",All-Time Great Movie Themes,True,4hFIG8f48S4aLcYwNY8lON,1993-02-09,37.0,1961-03-15,1961,1960-1964,7.0,9.0,94.615,183.307,7.0,0.0,0.358,0.294,-14.009,0.0295,0.85,0.87,0.246,0.239,1993,16.0,17
(New In) The Ways Of Love,(New In) The Ways Of Love,It’s All In The Game: The Best Of Tommy Edwards,False,4pNXt2MMFvTSBOkOPWjD8r,1994-01-01,47.0,1959-11-11,1959,1955-1959,9.0,9.0,178.668,159.64,7.0,0.0,0.386,0.322,-13.018,0.032,0.715,0.0,0.0544,0.508,1994,17.0,18
